Topic,Words
Topic 117,"chicago: 0.17577, sign: 0.06166, building: 0.02175, card: 0.01902, rhino: 0.01892, kudo: 0.01787, youth: 0.01381, love: 0.0126, tower: 0.01256, loving: 0.01119"
Topic 118,"investment: 0.04517, sometime: 0.02569, rich: 0.02499, financial: 0.02028, bulli: 0.01961, money: 0.01943, earn: 0.01846, profit: 0.01766, donald: 0.01508, living: 0.01508"
Topic 119,"hispanic: 0.17028, latino: 0.07974, community: 0.01955, among: 0.01459, black: 0.01427, univision: 0.01226, approval: 0.00957, poll: 0.00949, folk: 0.00934, data: 0.00891"
Topic 120,"estate: 0.15089, buyer: 0.04525, location: 0.03228, residential: 0.03168, property: 0.02991, market: 0.02376, real: 0.02092, bank: 0.01965, buying: 0.01763, mortgage: 0.01688"
Topic 121,"maga: 0.16277, yale: 0.02982, harvey: 0.02406, thank: 0.0233, chaffetz: 0.01676, village: 0.01555, donna: 0.01412, officer: 0.01412, charlie: 0.0131, parade: 0.01293"
Topic 122,"economy: 0.05481, economic: 0.02698, economist: 0.0209, wage: 0.0189, stimulate: 0.01762, benefiting: 0.0157, booming: 0.01501, soaring: 0.01443, kudlow: 0.01443, roaring: 0.01394"
Topic 123,"great: 0.07413, okay: 0.05515, awesome: 0.04214, well: 0.00862, : 1e-05, : 1e-05, : 1e-05, : 1e-05, : 1e-05, : 1e-05"
Topic 124,"vote: 0.05282, voice: 0.02152, station: 0.02074, mail: 0.016, legal: 0.01505, photo: 0.01504, voting: 0.01485, register: 0.0148, owner: 0.01457, challenge: 0.01442"
Topic 125,"maga: 0.15931, milestone: 0.03063, happening: 0.01695, objective: 0.01663, behalf: 0.01635, macon: 0.01531, kristen: 0.01531, minnesota: 0.01467, superbowl: 0.01317, fifth: 0.01261"
Topic 126,"hotel: 0.11102, soho: 0.07168, post: 0.02418, luxury: 0.02268, restaurant: 0.01876, office: 0.01778, mansion: 0.01625, hottest: 0.01563, maxine: 0.01419, stay: 0.01408"
Topic 127,"nato: 0.17532, germany: 0.05627, europe: 0.02804, countrie: 0.02768, share: 0.0245, commitment: 0.02378, protection: 0.02224, billion: 0.02124, european: 0.01849, paying: 0.01838"
Topic 128,"shirt: 0.18854, fragrance: 0.11532, macy: 0.11486, suit: 0.03311, gift: 0.03152, compliment: 0.02995, cologne: 0.02917, bought: 0.02535, collection: 0.02337, selling: 0.02334"
Topic 129,"billionaire: 0.18374, businessman: 0.06231, breed: 0.0475, rich: 0.03172, businessmen: 0.02785, think: 0.02764, visionary: 0.02002, like: 0.01812, chase: 0.01781, result: 0.01619"
Topic 130,"farmer: 0.12069, rancher: 0.09539, food: 0.06188, usda: 0.04326, farm: 0.03763, requirement: 0.03115, supp: 0.02862, producer: 0.02626, ethanol: 0.02596, rural: 0.02199"
Topic 131,"lago: 0.15594, palm: 0.13049, beach: 0.12163, invitational: 0.06376, miami: 0.04004, club: 0.03949, mansion: 0.03811, acre: 0.02981, jewel: 0.02519, renovation: 0.02205"
Topic 132,"pageant: 0.24142, universe: 0.08507, rouge: 0.04775, baton: 0.04673, vega: 0.0408, sunday: 0.03325, telecast: 0.03183, crown: 0.03097, competition: 0.03024, natalie: 0.02865"
Topic 133,"mccain: 0.22777, john: 0.04949, lousy: 0.01407, veteran: 0.01406, print: 0.01379, romney: 0.01186, fail: 0.0106, arizona: 0.01041, clas: 0.01038, phoenix: 0.01027"
Topic 134,"video: 0.09791, youtube: 0.03169, stream: 0.0255, facebook: 0.02416, espn: 0.01973, norfolk: 0.01895, donald: 0.01719, film: 0.01483, flashback: 0.01447, clip: 0.01291"
Topic 135,"nevada: 0.23841, reno: 0.10609, vega: 0.06737, spark: 0.03285, henderson: 0.02265, join: 0.02039, maga: 0.01548, lasting: 0.01132, sanchez: 0.01132, kellyanne: 0.01095"
